Altium Designer Pick and Place Locations
\\douro\homes$\tiago.carvalho\Desktop\LoRA-v2\Project Outputs for LoRA_v2\Pick Place for LoRA_PCB_v2.csv

========================================================================================================================
File Design Information:

Date:       08/07/22
Time:       15:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","250 Ohm","BottomLayer","RESC1005X35N","10.1600","1.2700","90",""
"R6","1020 Ohm","BottomLayer","RESC1005X40N","8.2550","1.2700","90","Res Thick Film 0402 1.02K Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R"
"X*1","ECS-TXO-2520MV-320-AY-TR","TopLayer","OSCDFN250X200X89-4N","6.3500","3.8100","180","32MHz TCXO CMOS Oscillator 1.7V ~ 3.6V Enable/Disable 4-SMD, No Lead"
"U3","AP7331","BottomLayer","SOT95P285X145-5N","12.7950","3.4900","180","Linear Voltage Regulator IC 1 Output 300mA SOT-25"
"U2","SM1262IMLTRT","TopLayer","SX","13.3350","10.1600","0","IC RF TxRx Only General ISM < 1GHz LoRaWAN 150MHz ~ 960MHz 24-VFQFN Exposed Pad"
"R5","100","TopLayer","RESC1005X40N","8.8900","26.0350","90","Res Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R"
"R4","100","TopLayer","RESC1005X40N","6.9850","29.8450","90","Res Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R"
"R3","220 Ohm","TopLayer","RESC1005X40N","8.8900","8.2550","270","Res Thick Film 0402 220 Ohm 5% 1/16W ±200ppm/°C Molded SMD SMD Paper T/R"
"R2","0 Ohm","TopLayer","RESC1005X35N","18.4150","16.5100","90","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film"
"R1","0 Ohm","TopLayer","RESC1005X35N","5.7150","12.5000","270","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film"
"L7","15nH","TopLayer","INDC1006X60N","18.4150","13.9700","90","Inductor with Inductance: 15nH Tol. +/-3%, Package: 0402 (1005)"
"L6","15uH","TopLayer","INDC2012X87N","15.8750","4.4450","90","Surface Mount High Frequency Inductor, MLZ Series, 15 H, 20%, 0805 [2012 Metric], 22 MHz"
"L5","4.7nH","TopLayer","INDC1006X60N","6.9850","17.1450","270","INDUCTOR, 0402, 4.7NH; Inductor Type:Chip Coils; Inductance Tolerance:± 0.2nH; Resistance:0.07ohm; DC Current Max:750mA; Case Style:0402; Q Factor @ Vr, F:25; Core Material:Alumina; External Depth:0.6mm; External Length / ;RoHS Compliant: Yes"
"L4","2.5nH","TopLayer","INDC1006X60N","12.0650","21.4150","90","Inductor with Inductance: 2.5nH Tol. +/-0.2nH, Package: 0402 _1005_"
